id,region,ndvi,yield,year,month,soil_type
4843,East,0.77,4.3,2022,5,peat
4844,North,0.76,2.4,2020,12,sandy_loam
4845,North,0.71,2.7,2023,11,clay
4846,North,0.77,4.3,2023,10,peat
4847,North,0.62,2.6,2021,3,peat
4848,East,0.52,4.8,2022,7,peat
4849,South,0.85,4.5,2022,9,peat
4850,North,0.78,3.9,2022,4,clay
4851,East,0.71,4.3,2022,2,peat
4852,West,0.85,4.6,2023,5,peat
4853,West,0.52,4.1,2021,9,peat
4854,South,0.75,2.2,2021,10,peat
4855,South,0.8,4.9,2020,1,sandy_loam
4856,South,0.84,3.1,2022,1,clay
4857,East,0.67,3.2,2020,6,peat
4858,West,0.69,3.7,2021,6,peat
4859,East,0.58,4.6,2022,10,sandy_loam
4860,East,0.54,4.4,2020,7,clay
4861,North,0.62,2.4,2022,1,sandy_loam
4862,South,0.86,4.7,2022,2,sandy_loam
4863,West,0.61,3.6,2022,6,sandy_loam
4864,South,0.77,3.1,2020,3,clay
4865,East,0.86,4.8,2023,10,clay
4866,South,0.7,3.1,2022,12,sandy_loam
4867,South,0.64,3.9,2023,11,peat
4868,East,0.83,4.6,2023,5,sandy_loam
4869,West,0.86,2.3,2022,11,clay
4870,North,0.7,4.9,2023,7,clay
4871,East,0.56,3.1,2021,9,peat
4872,East,0.76,2.4,2020,2,sandy_loam
4873,West,0.53,2.2,2022,1,peat
4874,North,0.89,3.8,2022,2,sandy_loam
4875,North,0.77,2.4,2020,4,sandy_loam
4876,East,0.79,3.1,2022,10,sandy_loam
4877,East,0.72,4.3,2021,4,peat
4878,South,0.89,4.6,2021,11,sandy_loam
4879,North,0.72,3.4,2023,6,clay
4880,West,0.67,3.3,2020,10,sandy_loam
4881,North,0.63,3.7,2023,3,peat
4882,West,0.68,3.0,2021,6,sandy_loam
4883,East,0.6,2.6,2022,7,clay
4884,North,0.89,2.3,2022,11,clay
4885,South,0.9,3.0,2020,9,peat
4886,North,0.57,2.3,2020,11,clay
4887,West,0.71,4.2,2023,4,clay
4888,East,0.77,4.5,2021,3,clay
4889,North,0.61,3.7,2022,12,peat
4890,East,0.71,2.9,2021,1,clay
4891,North,0.86,2.9,2021,6,peat
4892,North,0.88,3.5,2023,12,sandy_loam
4893,West,0.88,2.8,2021,5,clay
4894,West,0.5,3.7,2022,11,peat
4895,North,0.72,2.1,2021,4,clay
4896,North,0.72,3.4,2021,1,clay
4897,South,0.87,4.9,2022,8,clay
4898,North,0.64,3.2,2022,5,peat
4899,North,0.7,3.6,2021,1,sandy_loam
4900,North,0.69,4.6,2023,9,sandy_loam
4901,West,0.56,4.6,2023,1,sandy_loam
4902,South,0.65,4.9,2022,2,clay
4903,East,0.65,4.1,2023,2,clay
4904,North,0.52,3.6,2022,5,sandy_loam
4905,West,0.64,3.2,2020,4,clay
4906,West,0.65,2.6,2020,6,sandy_loam
4907,East,0.54,2.6,2021,11,clay
4908,North,0.64,4.4,2023,7,sandy_loam
4909,South,0.56,2.5,2023,5,sandy_loam
4910,West,0.6,3.0,2023,9,clay
4911,East,0.7,3.2,2022,4,peat
4912,South,0.72,2.2,2023,9,sandy_loam
4913,East,0.61,2.3,2022,7,clay
4914,North,0.68,2.2,2022,2,peat
4915,West,0.82,2.1,2021,12,clay
4916,North,0.85,4.1,2023,9,sandy_loam
4917,North,0.54,2.6,2021,1,clay
4918,West,0.57,4.5,2020,10,sandy_loam
4919,South,0.88,2.1,2021,9,clay
4920,East,0.85,2.6,2021,1,sandy_loam
4921,East,0.73,2.5,2021,8,peat
4922,West,0.67,3.7,2020,11,clay
4923,North,0.63,3.5,2022,7,clay
4924,South,0.88,3.8,2021,7,clay
4925,South,0.58,2.5,2020,10,clay
4926,West,0.86,2.1,2020,6,sandy_loam
4927,South,0.78,3.2,2023,7,clay
4928,West,0.84,4.9,2023,8,clay
4929,West,0.68,2.6,2020,11,clay
4930,West,0.75,2.1,2023,10,clay
4931,South,0.68,2.4,2020,7,sandy_loam
4932,North,0.78,3.3,2020,9,peat
4933,West,0.55,3.9,2023,6,clay
4934,South,0.54,2.8,2023,7,sandy_loam
4935,West,0.66,3.9,2021,1,peat
4936,South,0.57,2.6,2023,2,peat
4937,South,0.79,2.3,2022,10,peat
4938,West,0.57,3.2,2022,6,clay
4939,North,0.79,2.5,2022,5,peat
4940,North,0.86,2.5,2020,5,clay
4941,West,0.59,2.6,2021,10,clay
4942,South,0.62,2.7,2023,2,clay
4943,North,0.9,2.7,2021,10,sandy_loam
4944,East,0.82,3.4,2023,11,clay
4945,East,0.85,3.6,2021,12,sandy_loam
4946,South,0.53,2.1,2022,11,clay
4947,East,0.69,3.4,2020,4,clay
4948,West,0.63,2.8,2022,3,clay
4949,South,0.68,2.3,2020,4,sandy_loam
4950,South,0.87,2.9,2022,8,clay
4951,South,0.83,4.0,2020,7,clay
4952,East,0.71,4.9,2023,7,clay
4953,East,0.78,4.2,2022,4,peat
4954,South,0.83,4.2,2021,11,sandy_loam
4955,East,0.51,4.4,2020,7,peat
4956,South,0.86,3.1,2022,9,sandy_loam
4957,South,0.87,5.0,2023,5,clay
4958,South,0.59,4.4,2023,3,peat
4959,East,0.74,3.0,2021,9,clay
4960,West,0.75,4.5,2021,7,clay
4961,West,0.59,2.5,2020,11,sandy_loam
4962,North,0.73,4.9,2020,2,peat
4963,West,0.56,2.8,2020,5,clay
4964,East,0.79,4.3,2021,2,clay
4965,West,0.63,3.5,2021,4,clay
4966,West,0.55,4.1,2022,9,peat
4967,South,0.5,2.7,2022,2,sandy_loam
4968,West,0.61,4.1,2020,5,peat
4969,North,0.83,3.5,2022,3,sandy_loam
4970,North,0.59,3.9,2021,1,sandy_loam
4971,South,0.55,2.1,2023,12,sandy_loam
4972,West,0.62,2.4,2023,4,sandy_loam
4973,West,0.82,4.0,2020,5,peat
4974,North,0.7,3.0,2020,11,peat
4975,East,0.79,3.4,2023,4,peat
4976,North,0.85,3.6,2020,3,sandy_loam
4977,South,0.53,4.7,2020,11,peat
4978,West,0.83,3.4,2020,8,sandy_loam
4979,South,0.64,4.8,2021,12,clay
4980,South,0.78,3.1,2023,2,peat
4981,North,0.81,2.4,2022,8,sandy_loam
4982,East,0.78,3.2,2021,9,clay
4983,South,0.79,2.4,2023,4,peat
4984,East,0.8,4.4,2021,5,clay
4985,North,0.63,2.9,2023,7,sandy_loam
4986,East,0.63,2.0,2021,1,sandy_loam
4987,North,0.65,2.7,2022,6,peat
4988,East,0.54,4.1,2020,8,clay
4989,West,0.61,3.4,2021,10,sandy_loam
4990,North,0.69,2.3,2020,1,sandy_loam
4991,East,0.73,3.0,2021,6,sandy_loam
4992,East,0.85,3.6,2022,6,clay
4993,East,0.58,2.4,2023,10,clay
4994,North,0.74,4.8,2022,1,sandy_loam
4995,North,0.88,2.9,2021,4,sandy_loam
4996,East,0.63,4.3,2021,8,sandy_loam
4997,East,0.61,2.8,2023,12,peat
4998,South,0.68,2.3,2023,2,clay
4999,East,0.75,2.9,2020,12,sandy_loam
5000,East,0.64,3.1,2020,2,clay
5001,East,0.56,3.9,2023,7,clay
5002,South,0.89,3.2,2023,11,peat
5003,East,0.52,5.0,2022,5,sandy_loam
5004,North,0.72,3.8,2020,12,clay
5005,West,0.55,4.7,2023,2,peat
5006,North,0.63,2.3,2022,10,sandy_loam
5007,East,0.58,4.3,2020,1,clay
5008,North,0.84,4.5,2023,11,peat
5009,North,0.59,3.3,2020,6,clay
5010,North,0.61,4.3,2021,7,sandy_loam
5011,South,0.61,4.0,2020,5,peat
5012,North,0.66,3.4,2022,2,peat
5013,North,0.72,2.5,2021,5,sandy_loam
5014,North,0.74,2.9,2023,8,clay
5015,South,0.8,2.4,2022,2,clay
5016,North,0.69,4.3,2020,4,peat
5017,East,0.64,4.4,2022,7,clay
5018,North,0.52,2.6,2020,11,clay
5019,West,0.53,3.7,2022,6,clay
5020,East,0.68,2.7,2021,1,clay
5021,East,0.62,3.5,2023,1,sandy_loam
5022,East,0.85,4.8,2023,4,sandy_loam
5023,South,0.79,2.2,2020,1,sandy_loam
5024,South,0.84,4.6,2023,12,clay
5025,South,0.7,4.4,2023,4,clay
5026,West,0.75,3.2,2023,8,clay
5027,West,0.53,3.0,2022,3,clay
5028,West,0.58,4.0,2020,10,clay
5029,East,0.75,3.9,2023,2,sandy_loam
5030,North,0.65,4.0,2023,2,sandy_loam
5031,North,0.81,3.4,2021,3,clay
5032,North,0.6,3.1,2020,6,sandy_loam
5033,West,0.5,3.2,2020,6,sandy_loam
5034,West,0.85,2.2,2021,8,clay
5035,South,0.82,4.1,2020,12,clay
5036,West,0.66,4.9,2020,1,clay
5037,North,0.7,2.6,2021,5,clay
5038,East,0.61,4.1,2021,4,peat
5039,South,0.62,2.4,2021,3,peat
5040,West,0.69,4.6,2021,8,clay
5041,North,0.61,2.7,2021,11,sandy_loam
5042,North,0.89,3.0,2023,9,sandy_loam
5043,North,0.75,4.5,2022,7,sandy_loam
5044,West,0.5,3.6,2023,11,peat
5045,South,0.77,4.9,2020,8,clay
5046,North,0.52,4.8,2021,12,clay
5047,South,0.85,4.8,2022,3,clay
5048,North,0.74,2.9,2023,4,clay
5049,North,0.87,4.8,2020,11,peat
5050,South,0.84,2.6,2020,9,peat
5051,East,0.79,2.1,2021,7,clay
5052,East,0.62,3.8,2023,2,clay
5053,East,0.6,4.3,2021,9,clay
5054,South,0.66,4.3,2022,6,peat
5055,West,0.56,3.6,2021,8,peat
5056,North,0.82,4.6,2021,1,peat
5057,West,0.52,3.7,2022,6,peat
5058,North,0.74,3.7,2023,7,sandy_loam
5059,West,0.7,2.5,2020,10,clay
5060,East,0.54,3.1,2023,4,peat
5061,South,0.76,3.3,2020,8,clay
5062,South,0.82,3.9,2020,9,clay
5063,North,0.54,4.5,2023,12,sandy_loam
5064,West,0.74,3.1,2023,6,sandy_loam
5065,East,0.86,2.5,2022,4,clay
5066,East,0.63,2.3,2020,12,clay
5067,South,0.76,4.6,2021,11,clay
5068,East,0.68,2.7,2020,2,sandy_loam
5069,North,0.74,4.9,2023,3,clay
5070,West,0.87,2.1,2022,11,peat
5071,North,0.86,2.3,2023,11,clay
5072,South,0.75,2.1,2022,9,peat
5073,South,0.87,3.9,2022,9,sandy_loam
5074,West,0.73,4.6,2021,3,peat
5075,West,0.62,3.7,2023,2,clay
5076,North,0.68,5.0,2020,3,peat
5077,East,0.58,3.3,2020,6,clay
5078,East,0.85,3.8,2022,12,sandy_loam
5079,East,0.74,3.8,2021,6,clay
5080,West,0.68,3.8,2023,8,peat
5081,West,0.63,3.4,2022,12,clay
5082,South,0.5,3.9,2020,6,sandy_loam
5083,South,0.63,2.1,2022,1,peat
5084,North,0.81,3.0,2021,12,sandy_loam
5085,East,0.51,2.8,2023,6,peat
5086,East,0.78,4.3,2020,12,sandy_loam
5087,West,0.68,3.8,2020,2,clay
5088,West,0.5,3.0,2020,4,clay
5089,West,0.77,2.4,2020,10,clay
5090,East,0.59,3.8,2021,1,clay
5091,South,0.87,2.4,2020,9,sandy_loam
5092,North,0.71,4.8,2021,10,sandy_loam
5093,East,0.66,2.3,2021,5,peat
5094,South,0.79,4.4,2023,3,peat
5095,South,0.83,3.0,2021,1,clay
5096,South,0.66,2.9,2021,6,peat
5097,South,0.64,3.4,2021,12,peat
5098,West,0.55,2.8,2021,8,clay
5099,South,0.58,4.2,2023,10,clay
5100,East,0.58,5.0,2021,1,peat
5101,East,0.88,2.0,2022,11,clay
5102,East,0.69,2.7,2022,12,sandy_loam
5103,West,0.67,4.5,2020,12,sandy_loam
5104,East,0.81,3.2,2023,4,sandy_loam
5105,South,0.53,2.7,2023,4,sandy_loam
5106,South,0.85,2.1,2023,1,clay
5107,South,0.81,4.2,2020,4,sandy_loam
5108,South,0.53,4.1,2022,3,clay
5109,South,0.89,2.3,2020,10,clay
5110,West,0.55,2.3,2023,12,clay
5111,West,0.86,3.7,2020,5,sandy_loam
5112,West,0.51,3.5,2022,5,peat
5113,West,0.85,4.7,2021,12,sandy_loam
5114,South,0.74,2.4,2022,2,sandy_loam
5115,South,0.54,4.5,2020,2,clay
5116,West,0.63,3.9,2020,7,peat
5117,North,0.84,2.2,2021,1,peat
5118,South,0.64,3.4,2022,4,peat
5119,South,0.57,3.9,2021,1,clay
5120,West,0.85,4.4,2022,8,clay
5121,East,0.77,4.9,2023,5,clay
5122,West,0.51,3.8,2023,6,sandy_loam
5123,North,0.83,2.0,2022,5,peat
5124,South,0.58,2.8,2022,10,peat
5125,East,0.55,3.5,2023,4,peat
5126,North,0.81,2.2,2020,7,clay
5127,East,0.63,4.0,2020,2,peat
5128,North,0.78,2.9,2021,11,clay
5129,South,0.82,4.1,2020,11,peat
5130,South,0.8,2.4,2020,12,clay
5131,North,0.64,4.6,2020,9,sandy_loam
5132,West,0.79,3.9,2023,7,peat
5133,North,0.65,4.0,2021,10,clay
5134,West,0.51,4.9,2021,12,peat
5135,South,0.74,4.5,2022,10,peat
5136,North,0.76,2.3,2022,2,clay
5137,North,0.57,3.3,2020,8,sandy_loam
5138,East,0.62,3.3,2023,8,sandy_loam
5139,South,0.71,4.2,2023,5,peat
5140,West,0.74,3.1,2020,1,peat
5141,East,0.53,4.6,2020,6,peat
5142,North,0.78,3.3,2023,5,clay
5143,East,0.63,4.7,2020,11,clay
5144,West,0.79,4.1,2023,2,peat
5145,North,0.82,2.5,2022,12,sandy_loam
5146,East,0.73,3.0,2021,1,clay
5147,South,0.59,2.7,2022,3,sandy_loam
5148,West,0.78,2.1,2023,8,sandy_loam
5149,West,0.88,2.2,2022,6,clay
5150,North,0.57,2.0,2021,1,peat
5151,North,0.65,2.2,2021,5,peat
5152,South,0.66,4.2,2021,6,peat
5153,West,0.8,3.5,2020,4,sandy_loam
5154,North,0.79,4.4,2020,2,sandy_loam
5155,West,0.71,3.5,2021,11,sandy_loam
5156,South,0.6,2.4,2021,5,peat
5157,East,0.78,3.2,2022,2,clay
5158,North,0.86,4.8,2023,4,sandy_loam
5159,West,0.69,3.6,2023,2,clay
5160,West,0.84,3.5,2023,3,sandy_loam
5161,North,0.58,4.7,2022,3,sandy_loam
5162,North,0.8,2.8,2022,12,clay
5163,South,0.58,4.9,2020,10,peat
5164,West,0.61,2.0,2021,11,peat
5165,East,0.54,3.5,2023,6,clay
5166,West,0.72,3.7,2022,6,peat
5167,East,0.76,4.3,2022,6,clay
5168,West,0.76,3.3,2020,7,sandy_loam
5169,North,0.52,3.6,2020,2,clay
5170,East,0.73,4.2,2020,12,peat
5171,West,0.63,3.9,2020,3,sandy_loam
5172,North,0.56,2.2,2023,2,peat
5173,North,0.69,3.1,2021,1,clay
5174,North,0.53,2.2,2021,12,clay
5175,East,0.5,3.7,2020,3,clay
5176,North,0.8,2.8,2020,6,peat
5177,East,0.86,4.5,2022,10,peat
5178,East,0.59,2.9,2023,4,clay
5179,West,0.67,4.8,2022,7,clay
5180,South,0.82,3.2,2020,2,sandy_loam
5181,North,0.88,2.4,2022,4,sandy_loam
5182,North,0.57,4.1,2023,9,clay
5183,South,0.76,3.3,2021,11,sandy_loam
5184,West,0.69,3.7,2021,6,sandy_loam
5185,West,0.74,4.6,2023,2,sandy_loam
5186,West,0.76,2.3,2021,12,clay
5187,West,0.76,4.2,2022,12,peat
5188,North,0.61,2.6,2022,4,peat
5189,East,0.78,2.7,2022,8,clay
5190,West,0.7,2.9,2021,7,peat
5191,North,0.69,2.0,2020,6,peat
5192,East,0.66,2.2,2021,6,sandy_loam
5193,South,0.61,3.8,2021,4,clay
5194,East,0.59,3.5,2020,7,clay
5195,West,0.84,3.8,2020,2,peat
5196,West,0.8,4.1,2020,1,clay
5197,East,0.88,3.5,2022,2,clay
5198,East,0.68,2.4,2023,6,clay
5199,East,0.71,2.4,2021,3,sandy_loam
5200,North,0.8,3.4,2022,5,sandy_loam
5201,West,0.83,4.6,2022,3,peat
5202,West,0.83,3.2,2021,2,clay
5203,South,0.81,3.1,2023,5,clay
5204,North,0.75,2.6,2023,1,clay
5205,West,0.64,3.6,2021,1,sandy_loam
5206,East,0.85,2.7,2023,8,clay
5207,North,0.62,4.0,2020,6,peat
5208,East,0.73,4.0,2021,12,peat
5209,North,0.55,3.5,2022,8,clay
5210,East,0.85,3.8,2023,7,peat
5211,East,0.55,4.9,2020,12,sandy_loam
5212,East,0.87,2.0,2020,8,peat
5213,West,0.62,3.9,2022,2,peat
5214,West,0.5,3.7,2022,9,clay
5215,South,0.88,2.9,2022,12,peat
5216,North,0.53,4.2,2020,10,sandy_loam
5217,West,0.69,2.5,2020,2,peat
5218,East,0.53,3.6,2022,11,clay
5219,West,0.72,4.9,2020,8,peat
5220,South,0.53,2.5,2022,2,peat
5221,South,0.53,4.7,2022,4,peat
5222,East,0.9,4.8,2020,2,sandy_loam
5223,West,0.56,4.6,2022,10,sandy_loam
5224,West,0.57,3.5,2022,9,clay
5225,North,0.65,2.7,2020,7,clay
5226,East,0.72,2.2,2022,2,clay
5227,North,0.69,4.4,2021,10,clay
5228,West,0.51,4.5,2022,10,sandy_loam
5229,North,0.83,2.0,2023,9,peat
5230,South,0.71,2.5,2021,7,sandy_loam
5231,South,0.64,2.5,2023,9,sandy_loam
5232,South,0.57,4.0,2020,11,clay
5233,South,0.72,3.7,2021,7,clay
5234,East,0.88,2.5,2022,7,sandy_loam
5235,East,0.63,3.1,2022,10,clay
5236,North,0.77,3.1,2020,3,clay
5237,East,0.63,2.2,2021,6,sandy_loam
5238,West,0.74,3.5,2021,3,sandy_loam
5239,East,0.83,4.9,2023,1,clay
5240,North,0.71,4.9,2021,2,peat
5241,West,0.85,3.8,2022,4,peat
5242,West,0.5,4.6,2021,11,sandy_loam
5243,West,0.84,4.1,2021,12,clay
5244,West,0.54,2.8,2021,9,sandy_loam
5245,East,0.79,2.6,2020,11,clay
5246,West,0.71,4.2,2021,9,peat
5247,West,0.61,2.7,2023,9,sandy_loam
5248,East,0.69,3.8,2021,4,clay
5249,South,0.63,4.9,2023,1,sandy_loam
5250,South,0.79,3.3,2022,7,sandy_loam
5251,South,0.51,2.1,2022,3,peat
5252,South,0.88,2.7,2023,2,clay
5253,West,0.66,4.0,2023,7,peat
5254,South,0.61,2.7,2021,9,clay
5255,West,0.64,4.1,2021,12,peat
5256,East,0.83,3.2,2021,7,clay
5257,North,0.7,2.5,2023,10,clay
5258,East,0.89,4.3,2022,9,sandy_loam
5259,North,0.76,4.2,2023,1,peat
5260,South,0.85,3.9,2020,4,clay
5261,West,0.73,3.4,2020,5,sandy_loam
5262,West,0.54,4.0,2020,12,peat
5263,West,0.57,2.9,2021,9,sandy_loam
5264,East,0.6,3.1,2023,9,peat
5265,West,0.63,3.7,2022,1,sandy_loam
5266,North,0.73,3.8,2021,9,peat
5267,North,0.66,3.1,2023,11,sandy_loam
5268,South,0.72,2.9,2023,4,clay
5269,South,0.66,3.9,2021,11,clay
5270,South,0.81,3.5,2021,11,peat
5271,North,0.7,3.3,2021,2,clay
5272,South,0.52,2.4,2023,5,clay
5273,North,0.82,4.8,2020,9,sandy_loam
5274,South,0.74,3.2,2023,11,clay
5275,North,0.67,4.4,2021,1,peat
5276,West,0.76,4.6,2022,2,sandy_loam
5277,East,0.58,3.2,2023,2,sandy_loam
5278,East,0.61,3.8,2023,6,sandy_loam
5279,North,0.88,2.2,2022,1,sandy_loam
5280,West,0.68,3.6,2023,10,sandy_loam
5281,East,0.83,2.3,2021,5,sandy_loam
5282,East,0.72,3.3,2023,2,clay
5283,South,0.88,4.4,2022,8,sandy_loam
5284,West,0.55,4.7,2022,12,sandy_loam
5285,West,0.77,4.7,2023,9,sandy_loam
5286,East,0.75,3.6,2022,12,peat
5287,West,0.81,4.0,2021,3,clay
5288,North,0.51,2.2,2021,2,sandy_loam
5289,South,0.66,3.6,2023,8,peat
5290,North,0.69,4.6,2020,12,clay
5291,North,0.69,2.8,2022,7,peat
5292,West,0.85,3.7,2021,12,clay
5293,West,0.59,3.7,2021,1,sandy_loam
5294,East,0.71,4.4,2020,10,clay
5295,West,0.87,3.2,2021,4,clay
5296,West,0.82,2.3,2021,10,clay
5297,West,0.81,2.5,2023,8,clay
5298,North,0.51,3.5,2023,12,sandy_loam
5299,South,0.61,4.2,2022,5,sandy_loam
5300,South,0.89,4.6,2023,11,sandy_loam
5301,South,0.9,3.0,2023,12,peat
5302,South,0.87,3.7,2022,10,peat
5303,North,0.8,2.9,2022,12,peat
5304,East,0.85,5.0,2023,7,peat
5305,West,0.58,2.5,2020,10,clay
5306,East,0.63,2.6,2021,3,sandy_loam
5307,West,0.76,2.2,2020,7,clay
5308,West,0.57,3.5,2021,12,clay
5309,South,0.6,5.0,2023,11,clay
5310,South,0.63,3.6,2020,4,clay
5311,North,0.53,3.3,2020,11,sandy_loam
5312,East,0.77,3.8,2022,1,sandy_loam
5313,South,0.56,2.2,2020,11,peat
5314,North,0.78,4.7,2020,7,sandy_loam
5315,East,0.63,3.1,2023,3,peat
5316,East,0.64,4.0,2022,12,peat
5317,West,0.9,3.9,2022,3,peat
5318,North,0.59,3.5,2020,6,sandy_loam
5319,West,0.72,4.6,2023,4,peat
5320,East,0.78,3.2,2023,8,peat
5321,North,0.59,4.7,2021,1,peat
5322,South,0.68,4.3,2020,5,clay
5323,South,0.63,2.9,2023,11,peat
5324,West,0.54,4.1,2023,3,sandy_loam
5325,West,0.76,2.8,2023,8,clay
5326,West,0.85,4.5,2022,3,sandy_loam
5327,North,0.72,2.7,2020,2,sandy_loam
5328,North,0.6,4.2,2020,3,peat
5329,North,0.56,5.0,2020,11,clay
5330,West,0.83,4.9,2021,5,clay
5331,North,0.8,3.1,2020,9,clay
5332,North,0.69,3.2,2020,10,peat
5333,North,0.69,4.7,2022,8,sandy_loam
5334,South,0.51,2.9,2023,2,clay
5335,North,0.53,4.3,2023,12,clay
5336,East,0.86,2.1,2021,4,peat
5337,North,0.61,4.3,2023,7,sandy_loam
5338,South,0.72,2.8,2021,3,peat
5339,East,0.88,4.2,2020,7,clay
5340,North,0.63,3.1,2020,4,peat
5341,North,0.85,2.3,2021,1,peat
5342,West,0.6,2.6,2020,12,sandy_loam
5343,North,0.83,3.8,2020,10,clay
5344,West,0.8,2.4,2020,7,sandy_loam
5345,West,0.73,4.8,2021,8,peat
5346,West,0.88,4.1,2023,9,clay
5347,West,0.64,2.8,2023,4,sandy_loam
5348,West,0.69,3.4,2020,6,peat
5349,South,0.55,3.6,2021,3,clay
5350,West,0.55,2.9,2022,4,peat
5351,South,0.79,2.6,2022,5,clay
5352,North,0.66,2.4,2023,3,sandy_loam
5353,East,0.51,3.7,2022,3,clay
5354,East,0.89,4.5,2022,6,peat
5355,North,0.66,4.2,2020,1,peat
5356,West,0.56,4.2,2020,4,clay
5357,South,0.62,2.5,2022,3,sandy_loam
5358,East,0.75,4.1,2022,8,sandy_loam
5359,West,0.5,4.7,2020,11,clay
5360,North,0.6,4.8,2022,9,peat
5361,North,0.57,2.3,2021,9,sandy_loam
5362,South,0.53,4.5,2020,6,clay
5363,North,0.9,4.3,2020,5,sandy_loam
5364,West,0.86,4.6,2023,12,peat
5365,East,0.7,2.0,2023,7,clay
5366,North,0.75,3.2,2023,3,sandy_loam
5367,East,0.74,3.2,2022,10,clay
5368,West,0.73,2.3,2023,6,sandy_loam
5369,West,0.59,2.6,2020,5,peat
5370,North,0.83,2.4,2023,11,sandy_loam
5371,South,0.76,2.9,2022,1,sandy_loam
5372,East,0.62,4.6,2023,8,clay
5373,East,0.59,3.0,2020,1,sandy_loam
5374,West,0.56,2.8,2023,2,clay
5375,West,0.65,4.8,2020,9,peat
5376,North,0.57,3.2,2023,4,clay
5377,East,0.65,2.1,2022,1,clay
5378,North,0.67,3.7,2023,12,sandy_loam
5379,North,0.57,4.8,2022,12,peat
5380,North,0.62,4.8,2020,2,clay
5381,East,0.59,2.5,2021,9,peat
5382,North,0.68,3.3,2022,1,clay
5383,South,0.87,3.5,2023,11,sandy_loam
5384,East,0.71,2.9,2022,11,peat
5385,South,0.76,4.4,2021,9,sandy_loam
5386,East,0.63,3.0,2023,6,sandy_loam
5387,West,0.69,4.1,2023,12,sandy_loam
5388,South,0.87,2.1,2021,8,peat
5389,South,0.8,4.1,2022,5,clay
5390,West,0.69,3.3,2022,4,peat
5391,West,0.62,4.9,2022,12,sandy_loam
5392,South,0.79,4.5,2022,4,peat
5393,South,0.88,3.4,2021,8,sandy_loam
5394,South,0.56,4.8,2023,9,clay
5395,South,0.51,3.4,2021,1,peat
5396,East,0.63,2.1,2021,2,peat
5397,East,0.84,4.3,2021,4,peat
5398,South,0.54,3.4,2022,1,clay
5399,South,0.65,3.7,2022,4,sandy_loam
5400,South,0.71,3.5,2023,3,peat
5401,South,0.82,4.9,2023,10,peat
5402,North,0.87,4.6,2023,9,clay
5403,South,0.68,4.3,2023,2,peat
5404,East,0.86,2.5,2022,1,sandy_loam
5405,South,0.82,4.1,2023,7,sandy_loam
5406,South,0.55,4.0,2023,6,peat
5407,East,0.76,3.8,2023,10,peat
5408,West,0.73,3.1,2022,3,sandy_loam
5409,West,0.61,2.1,2022,8,peat
5410,North,0.72,2.7,2020,9,sandy_loam
5411,East,0.71,2.2,2023,10,clay
5412,West,0.75,3.3,2023,7,clay
5413,West,0.54,2.1,2021,11,peat
5414,West,0.86,4.1,2021,6,peat
5415,South,0.68,5.0,2020,5,peat
5416,South,0.82,3.2,2022,12,clay
5417,North,0.84,3.0,2021,2,peat
5418,South,0.85,3.2,2022,9,clay
5419,South,0.67,4.6,2020,4,peat
5420,North,0.79,4.7,2021,8,peat
5421,East,0.61,3.6,2020,8,peat
5422,South,0.86,3.8,2023,3,clay
5423,South,0.75,4.5,2020,1,peat
5424,West,0.55,3.4,2021,6,clay
5425,North,0.6,5.0,2022,7,clay
5426,North,0.77,4.0,2022,9,clay
5427,West,0.89,4.0,2023,8,clay
5428,North,0.63,3.2,2021,8,clay
5429,West,0.61,4.4,2020,5,peat
5430,South,0.79,3.1,2023,10,clay
5431,North,0.55,4.5,2021,6,clay
5432,West,0.84,3.9,2021,3,clay
5433,South,0.56,2.1,2022,4,sandy_loam
5434,East,0.85,4.6,2020,12,sandy_loam
5435,South,0.6,3.5,2023,1,peat
5436,North,0.72,3.0,2023,11,peat
5437,North,0.87,3.8,2022,10,peat
5438,East,0.79,2.1,2023,7,sandy_loam
5439,West,0.68,3.3,2021,10,sandy_loam
5440,South,0.62,3.3,2022,2,peat
5441,North,0.76,4.0,2023,8,sandy_loam
5442,West,0.78,2.6,2022,10,clay
5443,South,0.52,4.3,2023,1,peat
5444,East,0.82,3.7,2022,1,peat
5445,North,0.89,3.8,2020,4,peat
5446,West,0.88,3.7,2023,4,sandy_loam
5447,South,0.83,4.6,2020,12,sandy_loam
5448,West,0.67,4.6,2020,8,peat
5449,West,0.81,2.0,2022,5,clay
5450,East,0.73,3.6,2022,3,sandy_loam
5451,North,0.6,2.9,2020,8,peat
5452,South,0.63,3.4,2022,9,sandy_loam
5453,South,0.59,3.2,2022,9,peat
5454,North,0.84,3.3,2023,4,clay
5455,East,0.59,2.4,2020,2,sandy_loam
5456,East,0.8,2.7,2022,12,sandy_loam
5457,East,0.64,3.7,2023,8,clay
5458,East,0.9,4.1,2021,4,clay
5459,North,0.63,2.5,2023,1,sandy_loam
5460,West,0.83,3.7,2020,9,clay
5461,East,0.53,4.2,2020,4,sandy_loam
5462,East,0.85,2.6,2022,8,clay
5463,North,0.54,3.8,2020,9,clay
5464,West,0.62,2.5,2020,11,clay
5465,South,0.86,4.3,2023,12,peat
5466,North,0.89,4.3,2022,9,sandy_loam
5467,North,0.77,3.7,2022,8,sandy_loam
5468,East,0.85,2.3,2021,2,clay
5469,West,0.68,3.6,2021,2,clay
5470,West,0.62,3.5,2023,5,peat
